date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:20:50	10637/10637	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:50:48%20GMT	http://www.galgotiasuniversity.edu.in/js/csspopup.js	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/js/csspopup.html	(from http://www.galgotiasuniversity.edu.in/)
13:20:51	7001/7001	---M-Z	200	added ('OK')	text/css	etag:%224c41709eaab8d01:0%22	http://www.galgotiasuniversity.edu.in/css/flexslider.css	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/css/flexslider.css	(from http://www.galgotiasuniversity.edu.in/)
13:20:52	3511/3511	---M--	200	added ('OK')	image/png	etag:%223b62173a48a3d01:0%22	http://www.galgotiasuniversity.edu.in/images/cycle.png	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/images/cycle.png	(from http://www.galgotiasuniversity.edu.in/)
13:20:53	4156/4156	---M-Z	200	added ('OK')	text/css	etag:%22a476269eaab8d01:0%22	http://www.galgotiasuniversity.edu.in/css/lightbox.css	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/css/lightbox.css	(from http://www.galgotiasuniversity.edu.in/)
13:20:55	14872/14872	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bc7c1cadaab8d01:0%22	http://www.galgotiasuniversity.edu.in/js/lightbox.js	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/js/lightbox.js	(from http://www.galgotiasuniversity.edu.in/)
13:20:55	1751/1751	---M-Z	200	added ('OK')	text/css	etag:%22482b4a9eaab8d01:0%22	http://www.galgotiasuniversity.edu.in/css/featherlight.min.css	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/css/featherlight.min.css	(from http://www.galgotiasuniversity.edu.in/)
13:20:57	7063/7063	---M-Z	200	added ('OK')	application/x-javascript	etag:%2288f569acaab8d01:0%22	http://www.galgotiasuniversity.edu.in/js/featherlight.min.js	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/js/featherlight.min.js	(from http://www.galgotiasuniversity.edu.in/)
13:20:58	20057/20057	---M-Z	200	added ('OK')	text/css	etag:%22183bd49eaab8d01:0%22	http://www.galgotiasuniversity.edu.in/css/prettyPhoto.css	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/css/prettyPhoto.css	(from http://www.galgotiasuniversity.edu.in/)
13:20:59	13007/13007	---MC-	200	added ('OK')	text/javascript	date:Sat,%2020%20May%202017%2007:50:59%20GMT	http://www.googleadservices.com/pagead/conversion.js	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.googleadservices.com/pagead/f.txt	(from http://www.galgotiasuniversity.edu.in/)
13:20:59	31774/31774	---M-Z	200	added ('OK')	application/x-javascript	etag:%2216bde5acaab8d01:0%22	http://www.galgotiasuniversity.edu.in/js/jquery.prettyPhoto.js	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/js/jquery.prettyPhoto.js	(from http://www.galgotiasuniversity.edu.in/)
